measure,quantile,time,sex,age,ethnic,value
lx,2.50%,2017-19,Female,0 years,Total,100000
lx,2.50%,2017-19,Female,1 years,Total,99543
lx,2.50%,2017-19,Female,2 years,Total,99512
lx,2.50%,2017-19,Female,3 years,Total,99490
lx,2.50%,2017-19,Female,4 years,Total,99474
lx,2.50%,2017-19,Female,5 years,Total,99462
lx,2.50%,2017-19,Female,6 years,Total,99452
lx,2.50%,2017-19,Female,7 years,Total,99443
lx,2.50%,2017-19,Female,8 years,Total,99435
lx,2.50%,2017-19,Female,9 years,Total,99427
lx,2.50%,2017-19,Female,10 years,Total,99419
lx,2.50%,2017-19,Female,11 years,Total,99410
lx,2.50%,2017-19,Female,12 years,Total,99399
lx,2.50%,2017-19,Female,13 years,Total,99387
lx,2.50%,2017-19,Female,14 years,Total,99372
lx,2.50%,2017-19,Female,15 years,Total,99354
lx,2.50%,2017-19,Female,16 years,Total,99332
lx,2.50%,2017-19,Female,17 years,Total,99306
lx,2.50%,2017-19,Female,18 years,Total,99276
lx,2.50%,2017-19,Female,19 years,Total,99243
lx,2.50%,2017-19,Female,20 years,Total,99207
lx,2.50%,2017-19,Female,21 years,Total,99169
lx,2.50%,2017-19,Female,22 years,Total,99129
lx,2.50%,2017-19,Female,23 years,Total,99089
lx,2.50%,2017-19,Female,24 years,Total,99049
lx,2.50%,2017-19,Female,25 years,Total,99009
lx,2.50%,2017-19,Female,26 years,Total,98970
lx,2.50%,2017-19,Female,27 years,Total,98931
lx,2.50%,2017-19,Female,28 years,Total,98893
lx,2.50%,2017-19,Female,29 years,Total,98854
lx,2.50%,2017-19,Female,30 years,Total,98815
lx,2.50%,2017-19,Female,31 years,Total,98773
lx,2.50%,2017-19,Female,32 years,Total,98727
lx,2.50%,2017-19,Female,33 years,Total,98678
lx,2.50%,2017-19,Female,34 years,Total,98627
lx,2.50%,2017-19,Female,35 years,Total,98572
lx,2.50%,2017-19,Female,36 years,Total,98514
lx,2.50%,2017-19,Female,37 years,Total,98456
lx,2.50%,2017-19,Female,38 years,Total,98392
lx,2.50%,2017-19,Female,39 years,Total,98322
lx,2.50%,2017-19,Female,40 years,Total,98248
lx,2.50%,2017-19,Female,41 years,Total,98171
lx,2.50%,2017-19,Female,42 years,Total,98087
lx,2.50%,2017-19,Female,43 years,Total,97994
lx,2.50%,2017-19,Female,44 years,Total,97894
lx,2.50%,2017-19,Female,45 years,Total,97784
lx,2.50%,2017-19,Female,46 years,Total,97662
lx,2.50%,2017-19,Female,47 years,Total,97530
lx,2.50%,2017-19,Female,48 years,Total,97382
lx,2.50%,2017-19,Female,49 years,Total,97219
lx,2.50%,2017-19,Female,50 years,Total,97042
lx,2.50%,2017-19,Female,51 years,Total,96844
lx,2.50%,2017-19,Female,52 years,Total,96627
lx,2.50%,2017-19,Female,53 years,Total,96387
lx,2.50%,2017-19,Female,54 years,Total,96131
lx,2.50%,2017-19,Female,55 years,Total,95856
